"","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Brosimum.guianense","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.cinerea","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"21",0,0,1,0,2,2,0,1,22,0,1,0,0,5,0,0,5,1,0,1,4,1,0,2,2,0,0,0,1,0,0,46,8,0,2,1,0,0,1,0,0,2,0,3,1,0,7,13,0,1,0,0,0,4,6,0,0,0,8,0,0,0,0,1,1,1,1,24,0,0,1,0,0,0,0,0,1,0,0,4,3,0,9,8,49,0,11,0,2,0,2,0,15,0,2,0,1,0,1,3,1,1,0,1,4,0,1,0,13,0,0,2,1,0,0,0,0,1,67,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,5,0,13,17,0,0,0,0,0,0,0,0,1,0,0,51,34,0,0,1,0,17,0,0,8,1,0,0,0,12,0,0,0,0,1,8,0,0,0,5,1,0,0,0,0,0,2,0,5,0,2,4,2,0,0,0,3,3,0,0,0,1,3,0,1,0,19,45,1,0,1,10,0,14,11,0,16,9,3,0,0,0
"22",0,0,0,0,0,5,0,5,17,0,0,1,0,6,0,0,9,4,0,0,0,10,1,0,0,0,0,0,1,1,1,49,0,0,3,2,0,0,0,0,0,0,3,2,2,0,1,4,14,0,0,0,0,0,0,0,1,0,8,0,0,0,1,1,0,1,2,55,0,0,1,2,0,0,0,0,2,0,1,3,0,3,3,5,59,0,7,0,4,0,6,0,10,4,1,0,6,4,1,1,0,0,0,1,0,0,1,0,6,2,0,0,0,0,2,0,2,0,53,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,1,0,28,2,0,0,1,0,0,0,3,0,0,0,49,5,0,0,0,1,20,0,6,7,0,0,0,0,6,0,10,1,0,1,7,0,1,0,0,0,0,0,0,1,0,4,4,0,2,0,14,0,1,0,0,1,8,0,0,1,2,0,0,1,0,36,60,2,1,2,1,0,8,0,0,0,0,2,0,0,0
"23",0,0,0,0,1,1,0,0,7,1,3,2,0,4,0,0,16,0,2,1,0,2,0,0,0,0,0,0,0,6,0,64,4,0,1,0,0,0,0,0,0,2,0,1,0,0,2,9,9,1,0,0,0,0,1,0,0,0,0,4,1,0,2,1,0,0,1,34,0,2,0,0,0,0,0,0,3,1,0,2,3,0,5,3,51,0,2,0,2,0,4,0,10,7,10,0,0,9,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,3,7,50,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,1,0,0,1,3,52,1,0,0,1,0,1,0,4,1,0,0,1,4,8,0,0,0,0,0,2,0,0,0,4,1,2,1,3,2,2,2,8,1,0,6,7,0,0,0,7,0,12,1,1,3,0,0,1,0,1,20,63,0,0,0,4,0,13,0,0,0,0,0,0,0,0
"24",0,0,0,5,1,0,0,2,11,0,0,0,0,12,0,0,8,0,0,0,13,5,0,3,0,3,0,0,2,1,0,50,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,5,1,0,0,0,0,0,4,0,0,0,0,0,1,2,0,1,0,0,2,18,0,0,0,4,0,0,0,0,3,0,0,8,0,0,15,3,57,0,7,1,5,0,4,1,14,0,0,1,0,1,0,2,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,1,5,4,46,0,5,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,0,0,2,26,0,0,0,0,0,0,6,0,0,5,1,60,14,0,0,3,1,3,0,0,15,1,0,0,0,12,0,4,0,0,0,3,0,1,0,4,0,3,0,0,1,0,2,5,1,1,0,9,2,1,0,0,0,18,0,0,0,1,0,0,1,4,34,44,0,1,1,5,0,14,2,0,0,0,0,0,0,0
"25",0,0,0,0,1,1,0,0,23,1,0,0,0,6,0,3,10,0,2,0,3,7,0,2,0,2,0,0,3,5,0,50,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,5,0,2,0,1,0,2,8,1,0,0,2,0,0,0,1,2,5,0,4,29,0,0,0,1,0,1,0,3,4,4,0,1,3,0,1,6,55,3,15,1,2,0,6,0,27,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,2,1,0,1,0,0,0,4,1,41,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,11,0,0,0,1,0,0,1,2,0,4,1,60,3,0,0,7,0,1,4,4,8,0,0,0,3,24,0,9,1,0,0,13,0,0,0,7,1,0,4,0,0,0,0,1,1,0,0,4,2,1,1,2,4,8,0,3,0,0,0,0,0,4,36,47,0,1,0,3,0,8,8,0,0,3,5,0,0,0
"26",0,0,0,0,0,4,0,0,6,0,0,0,0,4,2,0,3,2,5,0,2,1,0,0,0,2,0,0,1,2,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,1,6,0,0,1,0,1,2,0,1,33,0,0,0,0,0,0,2,0,1,0,0,2,1,0,4,17,63,0,12,0,14,0,2,0,22,4,0,4,0,0,1,3,3,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,2,1,62,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,4,2,5,4,34,28,0,0,5,0,14,6,0,9,0,1,0,4,19,0,7,0,2,0,1,0,0,1,2,0,0,0,0,1,2,4,1,0,0,2,2,6,0,2,0,6,5,0,0,1,0,1,0,0,2,17,57,1,1,0,2,0,22,9,0,12,1,2,0,0,0
"27",1,0,0,0,4,5,0,2,14,1,0,0,0,2,0,0,8,1,0,1,2,8,0,1,1,0,0,0,1,0,1,49,1,0,2,0,1,0,1,0,0,1,2,0,0,0,1,5,3,0,0,1,0,4,0,0,0,1,9,1,0,0,0,0,0,2,0,49,0,0,0,0,0,0,0,0,1,1,0,6,1,0,9,3,74,0,6,0,1,0,1,0,6,2,1,0,0,1,0,1,2,0,0,2,0,2,0,0,3,0,0,0,2,0,0,0,4,0,48,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,1,0,0,0,0,2,0,0,0,51,5,0,0,2,0,10,3,0,2,2,0,0,3,13,0,10,0,3,0,13,0,0,0,0,0,5,1,0,0,0,12,4,0,5,0,14,3,0,0,0,13,14,1,0,1,0,2,0,0,2,13,57,0,1,3,0,0,13,2,0,5,6,2,3,0,0
"28",1,0,0,0,2,1,0,0,23,0,4,1,0,5,0,1,3,1,0,0,4,8,0,3,0,1,0,0,0,2,0,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,2,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,3,3,49,0,0,1,1,0,0,0,0,4,0,1,3,2,0,9,1,66,1,7,0,2,0,4,0,11,2,0,0,0,3,0,1,0,0,0,0,0,9,0,0,1,2,1,0,0,0,0,0,1,0,40,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,12,0,0,0,0,0,1,1,1,0,7,2,44,1,1,0,1,0,5,3,1,3,0,0,0,1,25,0,5,0,0,0,12,0,0,0,0,1,0,0,0,0,0,8,3,0,6,2,2,9,0,1,0,0,9,0,0,0,0,0,0,0,0,44,49,0,0,1,0,0,14,2,0,0,0,0,0,0,1
"29",0,0,1,2,0,3,0,0,14,0,1,1,0,6,0,2,1,2,0,0,12,2,0,4,0,0,0,0,0,4,0,51,3,0,4,0,0,0,0,1,0,2,2,0,0,1,5,4,1,1,0,0,0,3,1,0,0,2,5,0,2,0,0,8,0,0,2,58,0,0,0,0,0,0,0,0,1,0,0,2,2,0,4,6,65,0,8,3,0,0,8,1,7,3,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,2,0,0,0,0,1,0,3,2,52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,55,2,0,0,1,3,14,0,1,5,1,0,0,1,15,0,3,0,0,0,2,0,0,1,1,0,2,0,0,2,0,9,2,0,3,0,3,1,1,0,2,0,8,0,2,1,0,1,0,0,0,45,49,0,0,3,2,0,10,0,0,0,1,0,0,0,0
"30",0,0,0,13,3,2,1,0,49,0,0,2,0,5,0,1,3,2,0,0,3,4,0,0,0,0,0,0,4,5,3,51,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,5,1,0,0,0,2,4,0,0,1,3,0,1,0,0,3,0,0,5,61,0,0,0,1,0,0,0,0,0,1,0,2,4,1,1,0,61,7,29,0,7,1,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0,4,55,1,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,0,12,0,0,0,0,8,0,0,0,0,0,0,65,9,1,0,2,1,13,2,1,7,1,0,0,5,11,1,3,0,0,0,6,0,1,0,0,0,0,0,2,1,3,0,0,0,8,5,22,2,0,0,0,0,3,5,1,1,0,0,0,0,1,36,33,1,5,1,5,1,8,2,0,0,1,0,1,0,0
"31",0,0,0,6,0,2,1,0,12,0,1,0,0,4,0,0,5,2,3,0,3,2,0,3,0,1,0,0,0,0,0,58,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,6,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,4,37,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7,11,54,2,6,0,2,0,9,1,20,2,3,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,45,0,5,0,4,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,25,8,0,0,0,0,0,0,0,5,0,0,0,44,24,0,0,4,0,2,5,0,9,0,0,0,3,27,1,12,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,3,0,0,4,1,8,0,0,1,7,1,0,0,0,0,0,0,0,1,26,45,0,1,0,3,5,20,8,0,20,0,2,1,0,0
"32",1,0,0,2,0,3,1,0,25,0,0,0,0,3,0,1,5,1,0,0,7,8,0,0,2,0,0,0,2,1,1,51,0,0,1,2,0,0,0,0,1,0,1,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,2,2,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,11,44,2,5,0,4,0,7,0,9,6,0,0,0,1,0,0,3,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,2,2,51,4,4,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,3,0,4,8,0,0,0,0,0,0,0,3,0,4,2,45,4,0,0,3,0,2,4,0,3,0,0,1,3,16,0,28,0,0,0,6,0,0,2,0,3,1,1,0,2,1,5,1,0,0,0,5,4,0,0,0,3,3,0,4,0,0,0,0,0,5,57,61,0,1,0,5,1,27,2,0,7,8,0,1,0,0
"33",0,0,0,2,1,3,0,0,25,1,0,2,0,8,3,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,2,54,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,3,8,51,0,0,0,1,0,0,0,1,0,0,1,1,2,0,18,0,53,0,4,0,4,1,5,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,6,4,0,0,0,0,0,1,2,64,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,8,1,0,1,0,0,0,0,0,0,0,0,42,4,0,0,5,0,3,0,0,10,0,0,0,2,22,0,18,0,1,0,2,0,1,5,0,1,0,0,1,0,0,10,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,32,59,1,1,1,7,0,19,6,0,5,4,0,2,0,0
"34",0,2,0,5,0,6,0,0,26,0,0,2,0,6,1,1,1,5,0,0,3,10,0,0,10,6,0,0,0,1,1,58,4,0,0,0,0,0,0,0,0,0,3,0,2,5,0,8,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,6,0,1,12,50,0,0,0,0,0,0,2,0,6,2,0,3,5,0,15,0,55,4,26,1,0,1,3,0,3,4,1,0,0,1,0,0,2,0,0,0,0,4,0,0,5,0,1,0,0,0,1,0,0,3,48,1,2,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,1,0,1,2,0,1,1,62,1,0,0,0,0,12,5,3,10,0,0,1,2,14,0,14,0,1,0,2,0,0,0,0,0,0,0,0,1,0,17,1,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,3,43,61,0,0,0,0,1,6,1,0,1,0,0,2,0,0
"35",0,0,0,6,0,9,0,0,84,0,0,1,0,3,0,0,5,1,0,0,1,0,0,2,0,4,0,0,2,0,1,67,1,0,3,0,0,0,0,1,0,2,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,9,39,0,0,0,0,0,1,0,3,1,0,1,3,0,0,4,0,41,7,239,0,7,0,1,1,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,1,2,1,0,0,0,0,3,0,3,3,45,5,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,3,0,0,3,0,2,0,1,0,0,1,2,0,1,0,60,0,0,0,2,0,9,0,0,0,2,0,0,1,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,3,27,58,0,0,0,0,0,12,0,0,0,0,0,1,0,0
"36",0,0,1,1,1,3,0,0,7,0,0,0,0,3,0,2,0,0,1,0,4,1,1,0,4,8,0,0,4,0,1,71,0,0,1,0,0,0,1,0,0,8,0,0,2,0,11,9,0,0,0,0,0,0,0,2,0,1,47,0,0,2,0,2,0,1,0,25,1,0,0,0,0,1,0,0,0,1,0,1,3,0,8,10,44,3,1,0,0,1,6,0,27,1,0,0,0,1,0,4,0,0,0,0,0,1,1,4,4,1,3,0,0,0,0,0,0,3,59,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11,26,0,0,0,0,1,3,1,1,2,0,0,53,20,0,1,6,1,0,2,0,3,0,0,0,0,10,0,1,0,0,0,4,0,1,3,2,0,1,1,0,3,0,0,4,0,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,24,53,1,0,0,8,0,16,4,0,31,3,0,1,0,0
"37",0,0,0,4,0,9,1,0,23,0,0,0,0,5,0,0,2,1,0,0,2,3,0,1,2,3,0,0,0,2,0,53,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,13,0,3,0,2,0,1,2,0,0,0,12,0,0,0,4,1,0,0,8,68,1,0,0,0,0,1,0,0,0,0,0,1,0,0,17,6,35,0,1,1,4,0,6,0,6,5,4,4,0,5,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,6,48,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,1,0,1,0,39,6,0,0,1,0,0,3,0,8,0,0,0,6,11,1,2,0,0,0,6,0,2,4,1,0,0,0,0,0,1,7,4,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,5,22,45,0,0,6,5,4,11,4,0,0,5,0,4,0,0
"38",0,0,0,5,0,2,2,0,11,0,0,0,1,2,0,1,5,0,2,0,5,6,0,2,0,3,0,0,0,3,1,38,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,4,0,5,0,1,0,0,1,0,2,0,13,0,1,0,0,3,0,0,7,93,1,0,0,1,0,1,0,0,0,0,0,6,3,2,12,1,56,0,13,0,3,1,9,0,2,1,0,0,0,0,0,3,1,1,0,1,0,1,0,1,3,0,5,0,0,0,0,0,0,0,46,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,10,0,1,0,0,0,0,0,0,0,4,0,42,0,0,0,7,0,0,0,0,7,0,1,0,3,16,0,6,0,0,0,2,1,0,5,5,0,0,0,1,0,0,11,0,0,0,1,6,1,0,0,0,0,2,0,0,0,0,0,0,1,1,54,67,0,0,0,5,0,10,0,0,2,4,2,1,0,0
"39",1,1,0,8,0,4,0,0,27,0,0,1,0,4,0,5,2,2,1,0,11,5,0,0,0,1,0,0,5,0,0,60,1,0,1,3,0,1,0,0,0,4,0,0,0,1,2,11,0,0,0,0,0,3,0,3,1,1,1,1,0,0,0,0,1,1,5,35,3,1,0,1,0,0,0,0,4,0,0,4,1,2,12,1,58,4,24,0,3,0,12,0,3,2,0,0,0,1,0,6,2,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,1,41,0,1,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,41,3,0,0,6,0,7,3,1,9,0,0,0,2,21,0,2,0,0,2,1,0,0,4,0,0,0,0,0,0,0,6,5,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,72,48,0,0,2,0,0,10,1,0,0,1,0,2,0,0
"40",0,1,0,9,0,4,0,1,61,0,2,0,0,7,0,3,3,1,0,0,8,1,0,1,2,6,0,1,1,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,4,32,0,0,0,0,0,0,0,0,3,0,0,4,3,0,7,5,46,3,66,1,3,0,0,1,4,3,2,0,0,0,0,5,0,0,6,0,0,1,0,0,1,0,2,1,0,0,0,0,0,3,49,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,48,1,0,1,8,0,2,2,0,3,0,0,0,0,15,0,4,0,0,0,2,0,1,0,0,0,0,0,0,2,0,2,4,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,2,86,63,0,0,3,0,0,9,0,0,0,0,0,0,0,0
"41",0,0,0,0,2,12,0,0,16,1,1,0,0,3,0,0,1,0,0,0,5,9,0,0,3,1,0,0,4,0,0,61,0,0,1,3,1,0,1,0,0,3,0,0,3,2,5,20,1,7,1,1,0,2,2,0,0,0,25,1,0,0,1,3,0,1,7,17,0,0,1,2,0,0,0,0,0,0,2,0,0,0,27,7,49,0,3,0,0,2,4,0,30,0,1,3,0,0,0,4,1,1,0,1,0,1,0,0,7,0,2,0,0,0,2,1,1,3,41,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,8,0,1,0,0,0,0,1,6,0,0,0,57,9,0,0,3,0,0,0,0,6,0,0,0,0,9,0,3,0,0,0,3,0,0,1,0,0,0,0,0,3,2,0,0,0,0,1,2,4,0,0,0,0,5,0,0,1,0,0,0,0,0,22,48,0,0,4,5,2,16,13,0,12,3,1,4,1,0
"42",0,0,0,0,0,0,0,0,10,0,0,1,0,5,1,5,10,0,1,0,6,2,0,2,0,1,0,0,2,0,1,59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,14,0,1,0,0,0,1,0,0,0,0,19,0,1,3,0,2,1,0,6,17,0,0,0,1,0,2,1,0,0,0,1,1,1,0,9,4,52,2,6,0,3,0,5,1,20,2,3,0,0,1,0,9,5,0,0,0,1,3,2,0,2,1,2,1,0,0,0,0,0,3,49,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10,9,0,0,0,0,0,0,1,0,1,0,0,47,23,0,1,2,0,0,2,0,12,0,0,0,7,18,0,1,0,0,1,4,0,0,9,2,0,0,0,0,1,0,4,0,1,0,2,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,10,41,0,1,0,2,6,7,7,0,12,3,0,0,0,1
"43",0,0,0,0,1,2,1,1,8,0,0,2,0,2,0,4,2,1,0,0,8,3,0,0,0,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,16,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0,4,1,2,10,13,0,0,1,1,0,8,2,0,2,0,0,0,1,0,21,1,48,0,2,0,4,0,9,0,19,1,1,2,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,47,2,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,11,7,0,0,1,0,0,0,0,0,0,0,0,48,58,1,0,3,0,2,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,1,2,9,0,1,0,0,1,1,11,0,0,1,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,40,54,4,0,0,3,0,10,10,0,1,2,0,0,0,0
"44",0,0,1,5,0,6,0,0,11,1,1,0,0,8,0,5,6,0,0,0,15,0,0,1,0,0,0,0,2,0,0,49,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,2,11,0,1,9,0,1,0,0,2,32,0,0,0,0,1,0,0,0,5,0,0,0,4,0,4,3,53,3,12,0,7,0,8,0,18,5,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,53,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,6,0,1,0,0,0,0,0,4,0,0,2,60,51,0,0,1,0,1,1,3,6,0,0,0,0,28,0,2,1,0,0,1,0,0,1,3,0,0,0,0,0,1,2,1,0,2,2,3,0,0,0,1,0,4,0,0,0,1,0,0,0,0,32,55,1,0,0,3,0,10,0,0,1,1,0,0,0,0
"45",0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,46,2,0,7,0,0,0,0,0,6,0,63,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,4,9,0,0,1,0,1,1,0,2,8,0,0,0,1,0,0,0,0,0,0,2,1,7,0,11,2,46,0,2,1,0,0,16,0,28,12,1,0,0,0,0,3,2,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,44,0,5,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,12,7,0,0,0,0,0,0,0,1,0,2,0,50,48,3,0,4,3,0,2,2,18,0,1,1,0,28,0,2,0,1,0,1,0,0,4,6,0,1,0,0,0,1,2,0,3,0,1,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,28,64,4,0,0,7,0,15,7,0,0,0,1,1,0,0
"46",0,0,0,0,0,0,1,0,29,2,1,0,2,0,3,0,5,1,2,0,0,5,0,5,0,2,0,0,4,2,0,62,0,0,2,0,0,0,0,0,0,2,1,0,0,5,5,15,9,1,0,0,0,2,0,0,3,0,29,0,0,0,0,3,1,3,0,23,0,0,0,1,0,0,0,0,15,0,0,2,2,0,3,0,37,5,8,0,0,0,9,3,22,2,0,0,2,0,5,1,3,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,9,0,48,0,0,1,0,1,1,4,0,0,1,0,3,0,0,1,0,0,0,0,0,47,1,0,0,0,0,0,0,1,0,3,0,44,0,0,0,0,0,3,0,0,24,0,0,0,6,3,3,8,0,0,0,3,0,0,3,0,0,0,0,0,2,3,0,0,0,2,5,2,1,0,0,0,0,24,0,0,0,0,7,0,0,0,10,59,0,0,0,0,0,0,0,1,4,1,1,1,0,0
